"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"SCRG1",120.912881931398,8.47724502510302,2.38672825345829,3.55182665341971,0.000382566805938523,0.00110548736766815,"SCRG1"
"TNXB",358.379063223725,8.46358889072108,1.44659653423382,5.85069070084824,4.89535822748566e-09,3.07515809584037e-08,"TNXB"
"HTR2A",117.072317950789,8.43629942206328,1.64418331996676,5.13099684178395,2.88211746653795e-07,1.40821024379867e-06,"HTR2A"
"HOXB5",39.9229991404376,8.33013749571794,1.49795944869692,5.56098998738876,2.68248588920627e-08,1.51190267271878e-07,"HOXB5"
"ABCA6",37.2794582583978,8.23217188136069,1.74016569744099,4.73068276973081,2.23765961479577e-06,9.61256796774654e-06,"ABCA6"
"KRT14",1158.42520408016,8.14630689268364,2.31722178905428,3.51554906447188,0.000438845663109768,0.00124908367685495,"KRT14"
"CSF2RB",286.278491947964,8.12837733176258,1.7425650180091,4.66460490584698,3.0921055670133e-06,1.29802070717211e-05,"CSF2RB"
"MID1",34.6360172320592,8.12783524246298,1.50967453339598,5.3838327816126,7.29162476597664e-08,3.87257356047924e-07,"MID1"
"DOK6",32.7337023178892,8.04064946538797,1.50137483845372,5.35552432307251,8.5308669382555e-08,4.48130055950828e-07,"DOK6"
"WISP1",31.0747623353509,7.97258190021124,1.51417973156664,5.26528108520013,1.39975025812005e-07,7.14312015130323e-07,"WISP1"
"RIMS1",1260.49561862956,7.95935880476845,0.403885927191114,19.7069476030597,1.87968639054552e-86,2.80118026629152e-84,"RIMS1"
"LOC285084",30.6487812987987,7.95240970227294,1.74158079965461,4.56620198376674,4.96640252100141e-06,2.02111270344264e-05,"LOC285084"
"CPE",491.240534175095,7.93326838638778,1.64121645030303,4.8337733788392,1.33969088497159e-06,5.93847397240591e-06,"CPE"
"NKX2-6",78.0321927315515,7.85614222979921,2.03459247342082,3.86128540846828,0.000112792052286679,0.000362591399723845,"NKX2-6"
"TEKT4P2",74.7612079726918,7.78481378844007,2.0412323599679,3.81378129267092,0.00013685659168527,0.000431529172472596,"TEKT4P2"
"CCND2",717.276337818509,7.72241678465356,2.15547638650758,3.58269607266069,0.000340066187610722,0.000992758520641561,"CCND2"
"THEMIS",25.3663055572015,7.67448792185839,1.67918873079822,4.57035458915345,4.86899668065086e-06,1.98534529147842e-05,"THEMIS"
"PLEKHH2",25.2966193538653,7.67331237093944,1.50653551641671,5.09334979980452,3.51791768403837e-07,1.69635183238799e-06,"PLEKHH2"
"TSHZ2",24.2317956642712,7.61401112277973,1.69595131177291,4.48952223446804,7.13830964960726e-06,2.8197336760424e-05,"TSHZ2"
"COL15A1",638.883838939045,7.56294647112594,1.99682927546405,3.7874777598943,0.000152184302108586,0.000475191592365998,"COL15A1"
"PLEKHA7",23.370749942428,7.55553959622293,1.53670986390921,4.91669883409385,8.80157970897166e-07,3.98762847618195e-06,"PLEKHA7"
"LRRC32",123.792095560638,7.51704922331754,1.7771738671257,4.22977704228523,2.339230372217e-05,8.48521755995722e-05,"LRRC32"
"DEPTOR",477.996461100471,7.45509374243521,1.06282934908058,7.01438452832001,2.30963383815222e-12,2.11036469970727e-11,"DEPTOR"
"PPL",20.2591599586221,7.35581761718651,1.64858400059061,4.46190040334691,8.12359833266795e-06,3.17685735483716e-05,"PPL"
"EN1",110.603598631697,7.35278142796996,1.04779231103877,7.01740349734054,2.26029166938502e-12,2.06829905828667e-11,"EN1"
"DIRC1",19.7900049741161,7.31677993839892,1.88247632555151,3.88678457151664,0.000101580827704989,0.000329512516509732,"DIRC1"
"CNGA3",19.606859655691,7.30983158282266,1.52630557236834,4.78923206149352,1.67420779183075e-06,7.32275790990122e-06,"CNGA3"
"ABCA9",50.5456062924837,7.22026613149918,1.75139162063803,4.12258803023668,3.74639367689512e-05,0.000130851997900036,"ABCA9"
"USP17L5",18.2332453986166,7.19595989864091,1.56125001524929,4.60910157140456,4.04412737626916e-06,1.66637216906311e-05,"USP17L5"
"KNDC1",18.0302968021256,7.18993749474595,1.73587490409329,4.14196753336987,3.44339095413283e-05,0.000121284096690587,"KNDC1"
"CD36",95.4563870609346,7.15493523462195,2.02315335342314,3.53652639455923,0.000405425986729395,0.00116401892244921,"CD36"
"SP9",17.4532288929798,7.13914615738396,1.84895649009805,3.86117585547152,0.000112842645698038,0.000362660908561757,"SP9"
"NFATC2",17.3454250852637,7.13044954015074,1.64988990999112,4.32177292373958,1.54780440286865e-05,5.77508659168696e-05,"NFATC2"
"ITGA11",4560.2014706066,7.10478008959734,0.215748176350746,32.9308929038036,7.94287922445876e-238,3.31429873772583e-234,"ITGA11"
"FAM149A",16.942201894799,7.09751418176178,1.53493035854665,4.62399752682073,3.76414354632094e-06,1.56076677419164e-05,"FAM149A"
"DYNC1I1",16.7645966800163,7.08342583414488,1.5291207267729,4.63235224670191,3.61534344000415e-06,1.50320064683772e-05,"DYNC1I1"
"ASPN",45.5808087155663,7.07382849256237,1.52212475492385,4.64733818281294,3.36245671864759e-06,1.40444555235337e-05,"ASPN"
